smiles,Drd2,group
CC(C)CC(NC(=O)c1cc2ccccc2o1)C(=O)NC1CCN(Cc2ccc(OCCCN(C)C)cc2)C1,0,training
COc1ccc(CN2CCN(C(c3ccc(Cl)cc3)C(O)c3ccccc3)CC2)cc1,0,training
OC(COc1ccc2ccccc2c1)CN1CCOCC1,0,training
O=c1cc(-c2ccccc2Cl)oc2c(CN3CCOCC3)cc(Cl)cc12,0,training
Cn1c(N2CCN(CCCOc3ccc(F)cc3)CC2)cc(=O)n(C)c1=O,0,training
COc1ccc(F)cc1-c1c(C#N)cnc2[nH]c(C3=CCN(CC(=O)N(C)C)CC3)cc12,1,training
COc1ccccc1N1CCN(CC(O)CNC(=O)c2cccnc2Oc2cccc(N(C)C)c2)CC1,0,training
c1cc(-c2ccc3nc(C4CCN(CC5CC5)CC4)nn3c2)ccn1,1,training
CN1CCN(Cc2cccc3c2ccn3S(=O)(=O)c2ccccc2Br)CC1,0,training
CN1CCCc2c1cccc2N1CCN(CCCc2c[nH]c3ccccc23)CC1,1,training
COc1ccc2nccc(C(O)CCC3CCN(C4CC(c5cccc(F)c5C)C4)CC3C(=O)O)c2c1,0,training
COc1ccc(-c2cccc(NC(=O)c3cccc(C#N)c3)c2)cc1CNC(C)C,0,training
Cc1ccc(N2CCC(n3c(NC(C)C)nc4c(C(=O)N(C)C)c(Cl)c(Cl)cc43)CC2)cc1,0,training
CC12Cc3ccccc3CC(N1)c1cc(Cl)ccc12,1,training
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OCCC(C)O,1,training
COc1ccc(S(=O)(=O)Nc2cc(Cl)cc(Br)c2Cl)cc1N1CCNCC1,1,training
O=C(COc1coc(CN2CCN(c3ccccc3)CC2)cc1=O)N1CCc2ccccc21,0,training
COCCN1CCC(c2cc(C)c3nc(-c4c(NCC(O)c5cccc(Cl)c5)cc[nH]c4=O)[nH]c3c2)CC1,1,training
CN1CCN(CCc2cccc(Nc3c(C(=O)C4CC4)cnc4ccc(-c5cc(F)c(O)c(Cl)c5)cc34)c2)CC1,0,training
COc1ccccc1OCCNCCCc1c[nH]c2ccc(F)cc12,1,training
CCCOc1cccc2c(CC(C)NCC(O)c3cccc(Cl)c3)c[nH]c12,1,training
O=C1CC(CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2ncncc21,1,training
CNC(=O)Cn1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cccc(Cl)c1F)C2=O,0,training
COc1ccc2nccc(C(O)CN3CCC(NCc4[nH]c5ccccc5c4F)CC3)c2c1,1,training
CSc1nccc(N2CCC3(CCCN(CCc4ccccc4)C3)C2)n1,1,training
COc1ccc(-c2cc(C3CCCNC3)c(C#N)c(N)n2)c(O)c1,0,training
Clc1ccc2c(NCCCN3CCN(CCCNCC4CC4)CC3)ccnc2c1,1,training
CCC1CN2CCC1CC2C(O)c1cc(-c2ccccc2)nc2ccc(OC)cc12,1,training
O=C(NCC1CCN(Cc2ccc(Br)nc2)CC1)c1cc(Cl)cc(Cl)c1,0,training
Cc1cc2ncc(CN3CCN(c4ccccc4)CC3)n2c(C)n1,0,training
CNCC12Cc3ccc(O)cc3C(C)(CCC1N)C2,1,training
Cn1cc(-c2ccc(CN3C(=O)C4(CCN(C5CCC5)C4)c4ccccc43)c(F)c2)cn1,1,training
COc1cccc(CCNCCCN(C)C)c1,1,training
c1ccc(CCN2CCC3(CCCc4ccccc43)CC2)cc1,1,training
CCOc1ccccc1-c1noc(CN2CCN(c3ncccn3)CC2)n1,0,training
C=CC1CN2CCC1CC2C(O)c1cc(-c2ccc(Cl)cc2)nc2ccc(OC)cc12,1,training
COc1cccc(C(O)CN2CCN(c3cccccc3=O)CC2)c1,0,training
CCOc1ccc2oc(=O)cc(CN3CCN(c4ccc(Cl)cc4)CC3)c2c1,1,training
c1ccc(-n2cc(CN3CCC4(CC3)OCc3ccccc34)cn2)cc1,1,training
O=C(Nc1ccc2c(c1)OCO2)NC1CCN(Cc2ccccc2)CC1,0,training
Clc1ccc2c(NCCCN3CCN(CCCN(Cc4ccsc4)Cc4ccsc4)CC3)ccnc2c1,0,training
Oc1cccc2c1CCC(Nc1ccccc1)C2,0,training
CN1C2CCC1CC(Oc1ccc(Br)cc1)(c1ccccc1)C2,1,training
N#Cc1ccc(-c2n[nH]c3c2Cc2ccc(OCCCN4CCCOCC4)cc2-3)cn1,1,training
COc1ccc(N2CCN(CC(O)c3ccc(F)cc3F)CC2)cc1F,1,training
Cc1cc(CN2CCN(c3c(Br)cnc4nc(-c5ccc(N6CCN(C)CC6)cc5)[nH]c34)CC2)no1,1,training
CN(C)Cc1ccc(Nc2c(C(=O)C3CC3)cnc3ccc(-c4cc(Cl)c(O)c(Cl)c4)cc23)cn1,0,training
CC1CCC(NC(=O)c2cc3cc(-c4ccco4)cnc3n(CCN3CCOCC3)c2=O)CC1,0,training
CS(=O)(=O)NCCNCC(O)COc1ccccc1,0,training
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2c(=O)n(CC)c3ccccc32)CC1,0,training
Clc1ncc(OC2CCNC2)cc1-c1ccncc1,0,training
CC1C[NH+]2CCCC2CN1CCc1cccc(N)c1,0,training
CN(C)CC1(O)CCC(Nc2c(C(=O)C3CC3)cnc3ccc(-c4cc(Cl)c(O)c(Cl)c4)cc23)CC1,0,training
COc1cccc(CC2(CO)CCCN(Cc3c[nH]nc3-c3cc(C)ccc3C)C2)c1,0,training
CC(C)C(=O)NC1CCC(CCN2CCC(c3cccc4c3CCO4)CC2)CC1,1,training
COC(=O)C1C(OC(c2ccc(F)cc2)c2ccc(F)cc2)CC2CCC1N2CCCc1ccccc1,1,training
N#CC(Cc1ccc(C2CCOCC2)cc1)NC(=O)C1NC2CCC1C2,0,training
COCCOc1cc(CC2CCN(CCc3ccc4occc(=O)c4c3)CC2)ccc1Br,0,training
CN1Cc2cc(OCCCN3CCC(F)CC3)ccc2C(c2ccc(OC(F)F)cc2)C1,1,training
CC(=O)NC1CCC(CCN2CCC(c3ccc(F)c4occc34)CC2)CC1,1,training
O=C(CCN1CCC(c2ccccc2)C1)c1cccs1,1,training
COc1ccccc1OCC(=O)N1CCN(c2ccccc2OC)CC1,0,training
N#Cc1ccc2c(c1)CN(CCC1CCC(NC(=O)c3cc4ccccc4[nH]3)CC1)CC2,1,training
O=C(CCN1CCC(O)CC1)CSc1c(O)nc2ccc(C(F)(F)F)cc2c1-c1cc(Cl)ccc1O,1,training
CN1C2CCC1C(c1nc(-c3ccc(Br)cc3)no1)C(c1ccc(Cl)cc1)C2,0,training
CC1CCCN1CCc1ccc(-c2ccc(=O)[nH]n2)cc1,1,training
CCN(CC)CCCNC(=Nc1ccnc2cc(Cl)ccc12)c1cccnc1,1,training
CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2)C(C)CN(C(C)=O)CC3)ncc1Cl,0,training
COC(=O)C=CC1C(c2ccc(C)cc2)CC2CCC1N2C,0,training
COc1ccccc1C(=O)Nc1ccnn1C1CCN(C2CCSCC2)CC1,0,training
CNCCN1C(C)=Nc2ccc(Cl)cc2C1c1ccccc1,0,training
CC(=CCN(C)C)c1ccc2ccccc2c1,0,training
CC(C)(C)CCN1CCN(CC2CCC(c3ccc(Cl)cc3Cl)N(c3ccc(Cl)cc3)C2)CC1,1,training
O=C(NCC1CCCN(C2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)C1)c1cccc2cccnc12,1,training
CN(C)CCCN1c2cc(Cl)ccc2Sc2cc(O)c(O)cc21,1,training
O=C(Nc1ccc(N2CCOCC2)cc1)c1ccc(COc2ccccc2)cc1,0,training
O=C(O)C1CCCN(CCC=C(c2ccccc2)c2c(F)cccc2F)C1,1,training
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCCN(C(=O)N2CCOCC2)CC1,0,training
CC(=O)NCCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1,0,training
Cc1ccc(C[N+](C)(C)CCCN2c3ccccc3Sc3ccccc32)cc1,0,training
c1ccc2c(c1)CN(CC1CCOCC1)CC1(CCN(Cc3c[nH]c4cnccc34)CC1)O2,1,training
Oc1ccc2c3c1OC1c4c(c5ccccc5n4CCCF)CC4(O)C(C2)N(CC2CC2)CCC314,1,training
COc1cc(O)ccc1N1CCN(CCCNc2ncccc2C(=O)N(C)C)CC1,1,training
COc1ccc(CC2NCCc3c2[nH]c2c(F)cc(F)cc32)cc1OC,1,training
CC(C)COc1cccc(CN2CCC3(CNS(=O)(=O)N3c3cccc(F)c3)CC2C)c1,0,training
Nc1cccc(CC2CNCC2Oc2ccc(-c3ccccc3)cc2)n1,0,training
COc1ccccc1N1CCN(CCC(=O)c2ccc(C)s2)CC1,0,training
CC1c2cccc(O)c2CCC1N(C)C,1,training
CCCOC(=O)C1Cc2cc(O)ccc2C2CCC3(C)C(O)CCC3C12,0,training
COc1cc(N)c(Cl)cc1C(=O)NCCN(C)Cc1ccccc1C(F)(F)F,1,training
Fc1ccc(OC(c2ccc(F)cc2)C2CCNCC2)cc1,0,training
CCc1ncnc(-c2ccc(C(=O)NC)c(Cl)c2)c1C#Cc1ccc(N)nc1,0,training
CCC(=O)N1CCC(NC(=O)c2cc3cc(Cl)ccc3[nH]2)C(NC(=O)c2nc3c(s2)CN(C)CC3)C1,0,training
CCCN(CCC)CCCNc1[nH]cc(C)c2nc3ccncc3c1-2,1,training
COc1cc(N)c(Cl)cc1C(=O)OCCN1CC(C)OC(C)C1,0,training
O=C(CCc1c[nH]c2ccccc12)Oc1ccc(CN2CCOCC2)cc1,1,training
NC(=O)c1ccc(Oc2ccc3c(c2)CCCN(CCCN2CCOCC2)C3)nc1,0,training
COc1cccc(CN2CCOC3(C2)CC(C)(C)Oc2ccc(Br)cc23)c1,1,training
Cc1ccn(-c2ccc(C(=O)N3CCC(F)(F)C(=CC(=O)NCc4ccccn4)c4ccccc43)c(Cl)c2)n1,0,training
COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3C)ncnc2cc1OCCCN1CCN(C)CC1,0,training
O=C(O)c1cn(C2CC2)c2cc(N3CCN(C=CCN4CCN(c5ccccc5F)CC4)CC3)c(F)cc2c1=O,1,training
CN1CCN(c2ccc(-c3cc(-c4cccc(C(=O)NCC#N)c4)n[nH]3)cc2Br)CC1,1,training
CN1C2CCC1CC(NC(=O)c1c[nH]c3ccccc13)C2,1,training
CC(C)N1CCC(COCC(NC(=O)c2ccc3c(Cl)c[nH]c3c2)c2ccccc2Cl)CC1,1,training
Fc1ccc(C(OCCN2CCNCC2)c2ccc(F)cc2)cc1,1,training
O=C1c2ccccc2C(=O)c2c1ccc1nc(-c3ccc(OCCCN4CCN(CCO)CC4)cc3)[nH]c21,0,training
CCC(=O)C1C(c2ccc(C(C)C)cc2)CC2CCC1N2C,0,training
CN1CCN(c2cccc3[nH]c(-c4n[nH]c5cc(-c6ccc(CN)cc6)ccc45)nc23)CC1,1,training
COc1ccc(OC)c(CCN)c1,0,training
FCCC1OC2(CCN(Cc3ccccc3)CC2)c2ccccc21,1,training
NCCCOc1cc(N2CCC(N)C2)ccc1C(=O)Nc1ccccc1C(=O)Nc1ccc(Cl)cn1,0,training
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1-c1ccccc1C)CC2,0,training
O=C(c1ccccc1)c1cc(Cl)ccc1NC(=O)C(c1ccc(F)cc1)N1CCN(CCO)CC1,1,training
NC(=O)c1cccc2c1C(=O)N(CCO)C2,0,training
CC(C)(C)c1ccc(CN2CCC3c4ccccc4CCC3C2)cc1,1,training
N#Cc1ccccc1NC(=O)CN1CCN(Cc2ccccc2)CC1,0,training
N=C(N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,1,training
CC12CCC3c4ccc(O)cc4CCC3C1CCC2(O)C=Cc1cccs1,0,training
CC(C)(C)c1ccc(C(=O)CC2CCN(CC3CC3)CC2)cc1,1,training
CC(C)CCN1CCC2(C)c3cc(O)ccc3CC1C2C,1,training
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2c([N+](=O)[O-])cnc2C)CC1,0,training
COc1ccc(C(=O)NC2CC2)cc1OC1CCN(Cc2ccc(F)c(F)c2)CC1,1,training
Oc1ccc2c3c1OC1c4ncccc4CC4(O)C(C2)N(CC2CC2)CCC314,1,training
O=c1[nH]c2sc3c(c2c(=O)n1CCN1CCN(c2ccccc2)CC1)CCC3,1,training
O=C1C(=O)N(CN2CCN(c3ccnc4cc(C(F)(F)F)ccc34)CC2)c2cc(Br)ccc21,1,training
Cc1ccc(Cc2cc(C3C(c4ccc(C)cc4)CC4CCC3N4C)on2)cc1,0,training
C=CCC1c2c(O)cccc2CCC1NCCC,1,training
O=C(NCC1CCN(CCC2CC2)CC1)c1cc(Cl)cc(Cl)c1,1,training
COc1cccc(N2CCN(Cc3cn(-c4ccccc4)c(-c4ccccc4)n3)CC2)c1,1,training
O=C1C(=O)N(CN2CCN(Cc3cccc(F)c3)CC2)c2ccccc21,1,training
Fc1ccc(C(Oc2ccc(Cl)c(Cl)c2)C2CCCNC2)cc1,1,training
COc1ccc(CC2c3cccc(Cl)c3CCN2C)cc1OC,1,training
COc1ccc2nccc(C(O)CN3CCC(NCc4nc5ccccc5[nH]4)CC3)c2c1,1,training
COc1cccc(CN2CCSCC2)c1OC,0,training
O=C(NCCCN1CCOCC1)c1ccc2c(=O)n(Cc3ccc(F)cc3)c(=O)[nH]c2c1,0,training
Clc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccccc3)CC2)cc1,1,training
CCN(CC)C1CCC(Nc2cc(Nc3ccc(F)c(Cl)c3)n3nccc3n2)CC1,0,training
FCC1Cc2ccccc2CN1,0,training
CCC1Cn2c(O)nc3cccc(c32)CN1,1,training
COc1ccc2nc3cc(Cl)ccc3c(Nc3cccc(Nc4ccnc5cc(Cl)ccc45)c3)c2c1,0,training
COC(=O)C1(c2ccc([N+](=O)[O-])cc2)CC1CN1CCN(c2ccccn2)CC1,0,training
C#CCN(C)CCc1cccc(O)c1,1,training
CN1CCC23c4c5ccc(O)c4OC2C(NC(=O)C=Cc2ccccc2)C=CC3C1C5,0,training
COc1cccc(-c2nc(CN3CCC4(CC3)OCCO4)co2)c1,0,training
COc1ccc(S(=O)(=O)N(CCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)CC2CC2)cc1,1,training
CN1CCN(C2=Nc3ccccc3Sc3ccc(F)cc32)CC1,1,training
CN(CC(CCN1CCC(c2ccccc2[S+](C)[O-])CC1)c1ccc(Cl)c(Cl)c1)C(=O)c1cc(C#N)cc2cc(O)ccc12,0,training
CN(C)C1COC2(CCN(Cc3ccc4c(c3)OCO4)CC2)C1,0,training
COc1ccccc1N1CCN(CCOCc2ccc(F)cc2)CC1,0,training
CN1CCN(c2nc(NCc3cc4ccccc4s3)c3cc(Cl)ccc3n2)CC1,0,training
Nc1scc(CN2CCN(c3cc(Cl)cc(Cl)c3)CC2)c1C(=O)c1ccc(Cl)cc1,1,training
COc1ccc(C(=O)c2c(C)n(CC3CCCN3C)c3ccccc23)cc1,0,training
N#CCCN1CCN(Cc2ccc(-c3ccc(-c4nc5cc(F)ccc5[nH]4)s3)cc2)CC1,1,training
ON=C(CCN1CCN(c2ccccn2)CC1)c1ccccc1,0,training
CCC(=O)CCN1CCN(c2nc(NCCc3ccc(O)cc3)nc(N(C)CCCc3ccc(Cl)cc3)n2)CC1,1,training
O=C1CC(=C2c3ccccc3-c3ccccc32)C(=O)N1CCN1CCN(c2ccc(F)cc2)CC1,1,training
Nc1ccc(N2CCN(CC(O)(Cn3cncn3)c3ccc(F)cc3F)CC2)c(F)c1,1,training
NC(=O)CCCOc1ccc2[nH]c3nc(O)nc-3cc2c1,0,training
Nc1c(-c2nc3cc(N4CCOCC4)ccc3[nH]2)c(=O)[nH]c2ccccc12,0,training
CN1CCN(c2ccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)cc2)CC1,0,training
COc1ccc(-c2ccc(CCNC(=O)c3ccc4c(c3)C3(C)CCN(CC5CC5)C(C4)C3C)cc2)cc1OC,0,training
Clc1cc(CN2CCN(c3ccccc3)CC2)cc(Cl)n1,0,training
CCN(CC(=O)NCc1ccc(F)cc1)C(=O)CN1CCN(c2cc(Cl)ccc2C)CC1,1,training
CC(C)(C)c1ccc(-c2nc3c(N4CCN(Cc5ccc6ncccc6c5)CC4)cccc3[nH]2)cc1,1,training
COc1ccc2c3c1OC1C(O)C(CO)(C(O)c4ccccc4)CC4C(C2)N(C)CCC341,0,training
COc1ccc2c(c1)c(CC(=O)Oc1cc(C)cc(C)c1)c(C)n2C(=O)c1ccc(Cl)cc1,0,training
O=C(CCCN1CCN(c2ccc([N+](=O)[O-])cc2)CC1)NC1c2ccccc2CSc2ccccc21,0,training
COc1ccc(Cl)cc1N1CCN(CCNC(=O)c2cc3ccccc3o2)CC1,0,training
O=S(=O)(NC1C2CCC1Cc1cc(OCCN3CCC(O)C3)ccc1C2)c1ccc(Cl)s1,1,training
ClCCCN1CCN(c2cccc(Cl)c2)CC1,0,training
N#Cc1c2c(c(N3CCN(Cc4ccc(F)cc4)CC3)n3c1nc1ccccc13)CCC2,1,training
O=C(NCCN1CCN(Cc2ccc(Cl)c(Cl)c2)CC1)C1CC1c1ccccc1,1,training
Cc1nc2ccccc2n1S(=O)(=O)c1ccc(Br)cc1,0,training
Clc1ccc(CN2CCC(Cc3ccccc3)CC2)cc1,1,training
COc1c(C(=O)NCCN2CCN(c3ccc(Cl)cc3)CC2)cc(Br)c2ccccc12,1,training
CC=C1CN2CCc3c([nH]c4ccccc34)C2CC1Cc1nccc2c1[nH]c1ccc(O)cc12,1,training
COc1ccc2c(c1)C13CCC(C)CC1C(C2)N(CC1CC1)CC3,0,training
O=C(c1ccc(N(CCO)Cc2ccccc2)cc1)N1CCc2ccc(O)cc2C1,0,training
O=C(CCN1CCN(c2ccccn2)CC1)Nc1ccc(Cl)cc1,0,training
CC(NCc1cnc(Oc2ccc3c(c2)CCC(c2ccccc2)O3)s1)C(C)(C)C,0,training
COc1cc2c(cc1OC)C(=O)N(C1CCCN(CCCOc3ccc4c(c3)CCC4)C1)CC2,0,training
CC#CC(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,1,training
CC(C)Nc1ccc(Oc2cc(O)cc(O)c2-c2cc(C(=O)NC3CCN(C)CC3)no2)cc1,0,training
COc1ccc(CCC(=O)c2ccccc2OCC(O)CN2CCN(c3ccccc3C)CC2)cc1,1,training
Cc1cnc(Nc2ccc(N3CCN(C)CC3)c(F)c2)nc1-c1ccc(F)c(Cl)c1,1,training
CCN1CCc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,1,training
Nc1ccc(F)c(-c2ccnc3[nH]c(C4CCNCC4)cc23)c1,0,training
Fc1ccc(CN2CCN(c3nccc(NCc4ccccc4)n3)CC2)cc1,1,training
CN(C)CCCn1c(C=Cc2ccc3c(c2)OCO3)nc2cc(Cl)ccc2c1=O,0,training
Cc1nc2sccn2c1CN1CCOc2ccc(CN3CC(C)OC(C)C3)cc2C1,0,training
COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCC(O)C1CC1,0,training
COCCOc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1N1CCN(C)CC1,0,training
COc1cc(C2CCC2)c2c(=O)oc(-c3cccnc3N3CCN(C4CCN(C)CC4)CC3)nc2c1,1,training
Cn1cnc2cc(-c3ccc(CC(C#N)NC(=O)C4NC5CCC4C5)cc3)ccc21,0,training
CCOC(=O)C1CCN(Cc2cc(=O)n3c(-c4ccccc4)csc3n2)CC1,0,training
Cn1cncc1CNC1CC2(CCN(CC3CC3)CC2)c2ccccc21,1,training
COc1cc2c(cc1OC)CC(=O)N(CCCN(C)CCc1scnc1C)CC2,0,training
O=C(NCc1ccccc1)C1Cc2c([nH]c3ccc(Br)cc23)C2(CCN(Cc3ccccc3)CC2)N1,1,training
Nc1nccnc1CC1CCCN(Cc2ccnc3ccccc23)C1,0,training
CC(C)c1cc2c(s1)Nc1ccc(F)cc1N=C2N1CCN(C)CC1,1,training
CCC(=O)N(c1ccccc1F)C1(c2ccccc2)CCN(CCn2c(=O)oc3ccccc32)CC1,1,training
Cc1cc(C)c2c(c1O)C(NC(=O)CN1CCN(c3ccc(Cl)c(Cl)c3)CC1)C(C)(C)C2,1,training
COc1ccc(C#Cc2ccccc2)c(CC(C)N(C)CCc2cccc(Cl)c2Cl)c1,1,training
CC(=O)N1CCc2ccc(C(=O)CCCN3CCC(O)(c4ccc(Cl)cc4)CC3)cc2CC1,1,training
Cc1ccccc1-c1nc(N2CCN(C)CC2)c2ccccc2n1,0,training
O=C1CC(=C(c2ccccc2)c2ccccc2)C(=O)N1CN1CCN(c2cccc(Cl)c2)CC1,0,training
CCC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1,1,training
O=C(CN1CCN(c2ccc(C(F)(F)F)cn2)CC1)NC1C2CC3CC1CC(O)(C3)C2,0,training
O=C(NC1CCN(Cc2ccc3ccccc3c2)CC1)c1ccc(Cl)cc1,1,training
c1ccc(CC2CCN(CCCSc3ncc[nH]3)CC2)cc1,1,training
Clc1ccc(CN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)cc1,1,training
COc1cccc(C(=O)N2CCN(C3CCC(c4ccccc4)CC3)CC2)c1,1,training
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OCC1=NCCN1,1,training
CCN(CC)CCN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,0,training
O=C(c1ccc(Cl)cc1)N1CCOC(CCN2CCC(c3ccccc3)CC2)(c2ccc(Cl)c(Cl)c2)C1,1,training
CC12CCC3c4ccc(O)cc4CCC3C1CCC2(O)c1ccccc1,0,training
CNCCC(c1cccc(Cl)c1)N1C(=O)C(C)(C)c2cccc(F)c21,0,training
NC(=O)C1CCC(c2nc(-c3cccc(OCc4ccccc4)c3)c3c(N)nccn23)CC1,0,training
COc1ccc(C2(N3CCN(c4ccccc4)CC3)C3CC(C)CC32)cc1,0,training
CN1CCN(C2=C(Nc3ccc(Cl)cc3)C(=O)c3ccccc3C2=O)CC1,1,training
O=c1cc(CN2CCN(c3cccc(C(F)(F)F)c3)CC2)nc2sccn12,0,training
